ds,public.accounts,public.checking,public.savings
1650338104.6609275,5463105536,2214993920,2214961152
1650338104.762071,5463105536,2214993920,2214961152
1650338104.8631647,5463105536,2214993920,2214961152
1650338104.9642541,5463105536,2214993920,2214961152
1650338105.065349,5463105536,2215002112,2214961152
1650338105.166427,5463105536,2215002112,2214961152
1650338105.2675257,5463105536,2215002112,2214961152
1650338105.3686438,5463105536,2215002112,2214961152
1650338105.4697769,5463105536,2215002112,2214961152
1650338105.570953,5463105536,2215002112,2214961152
1650338105.6721156,5463105536,2215002112,2214961152
1650338105.7732332,5463105536,2215002112,2214961152
1650338105.8743107,5463105536,2215002112,2214961152
1650338105.9753656,5463105536,2215002112,2214961152
1650338106.0764303,5463105536,2215002112,2214961152
1650338106.1775386,5463105536,2215002112,2214961152
1650338106.2786472,5463105536,2215002112,2214961152
1650338106.3800826,5463105536,2215002112,2214961152
1650338106.4812303,5463105536,2215002112,2214961152
1650338106.5823472,5463105536,2215002112,2214961152
1650338106.6833646,5463105536,2215002112,2214961152
1650338106.7844183,5463105536,2215002112,2214961152
1650338106.8854637,5463105536,2215002112,2214961152
1650338106.9865363,5463105536,2215002112,2214961152
1650338107.0876489,5463105536,2215002112,2214961152
1650338107.1887677,5463105536,2215010304,2214961152
1650338107.2899134,5463105536,2215010304,2214961152
1650338107.391005,5463105536,2215010304,2214961152
1650338107.4922276,5463105536,2215010304,2214961152
1650338107.5933394,5463105536,2215010304,2214961152
1650338107.694411,5463105536,2215010304,2214961152
1650338107.7955046,5463105536,2215010304,2214961152
1650338107.8966215,5463105536,2215010304,2214961152
1650338107.9977043,5463105536,2215010304,2214961152
1650338108.0988135,5463105536,2215010304,2214961152
1650338108.2000227,5463105536,2215010304,2214961152
1650338108.301211,5463105536,2215010304,2214961152
1650338108.4023066,5463105536,2215010304,2214961152
1650338108.5033963,5463105536,2215010304,2214961152
1650338108.6044896,5463105536,2215010304,2214961152
1650338108.7055335,5463105536,2215010304,2214961152
1650338108.8066072,5463105536,2215010304,2214961152
1650338108.9076428,5463105536,2215010304,2214961152
1650338109.0087683,5463105536,2215010304,2214961152
1650338109.109854,5463105536,2215010304,2214961152
1650338109.2110286,5463105536,2215018496,2214969344
1650338109.3121457,5463105536,2215018496,2214969344
1650338109.413263,5463105536,2215018496,2214969344
1650338109.5143483,5463105536,2215018496,2214969344
1650338109.6154282,5463105536,2215018496,2214969344
1650338109.7165241,5463105536,2215018496,2214969344
1650338109.8176339,5463105536,2215018496,2214969344
1650338109.9186964,5463105536,2215018496,2214969344
1650338110.019883,5463105536,2215018496,2214969344
1650338110.121081,5463105536,2215018496,2214969344
1650338110.2221768,5463105536,2215018496,2214969344
1650338110.3231778,5463105536,2215018496,2214969344
1650338110.4242733,5463105536,2215018496,2214969344
1650338110.525336,5463105536,2215018496,2214969344
1650338110.6264162,5463105536,2215018496,2214969344
1650338110.7274988,5463105536,2215018496,2214969344
1650338110.828607,5463105536,2215018496,2214969344
1650338110.9297314,5463105536,2215018496,2214969344
1650338111.0308387,5463105536,2215018496,2214969344
1650338111.1320496,5463105536,2215018496,2214969344
1650338111.2331727,5463105536,2215026688,2214969344
1650338111.3342288,5463105536,2215026688,2214969344
1650338111.4353776,5463105536,2215026688,2214969344
1650338111.5364833,5463105536,2215026688,2214969344
1650338111.637585,5463105536,2215026688,2214969344
1650338111.7387118,5463105536,2215026688,2214969344
1650338111.8398545,5463105536,2215026688,2214969344
1650338111.9410138,5463105536,2215026688,2214969344
1650338112.0420995,5463105536,2215026688,2214969344
1650338112.1431932,5463105536,2215026688,2214969344
1650338112.2442813,5463105536,2215026688,2214969344
1650338112.3453617,5463105536,2215026688,2214969344
1650338112.4464343,5463105536,2215026688,2214969344
1650338112.5475128,5463105536,2215026688,2214969344
1650338112.6486263,5463105536,2215026688,2214969344
1650338112.749778,5463105536,2215026688,2214969344
1650338112.8509336,5463105536,2215026688,2214969344
1650338112.9520392,5463105536,2215026688,2214969344
1650338113.053159,5463105536,2215026688,2214969344
1650338113.154266,5463105536,2215034880,2214969344
1650338113.2553456,5463105536,2215034880,2214969344
1650338113.3564258,5463105536,2215034880,2214969344
1650338113.4575088,5463105536,2215034880,2214969344
1650338113.5586116,5463105536,2215034880,2214969344
1650338113.659714,5463105536,2215034880,2214969344
1650338113.7608495,5463105536,2215034880,2214969344
1650338113.861903,5463105536,2215034880,2214969344
1650338113.962992,5463105536,2215034880,2214969344
1650338114.0641162,5463105536,2215034880,2214969344
1650338114.1652753,5463105536,2215034880,2214969344
1650338114.2663834,5463105536,2215034880,2214969344
1650338114.367493,5463105536,2215034880,2214969344
1650338114.4686406,5463105536,2215034880,2214969344
1650338114.5698423,5463105536,2215034880,2214969344
1650338114.6709893,5463105536,2215034880,2214969344
1650338114.77214,5463105536,2215034880,2214969344
1650338114.8732975,5463105536,2215034880,2214969344
1650338114.9743779,5463105536,2215043072,2214969344
1650338115.075467,5463105536,2215043072,2214969344
1650338115.1765318,5463105536,2215043072,2214969344
1650338115.2776277,5463105536,2215043072,2214969344
1650338115.3787565,5463105536,2215043072,2214969344
1650338115.4799001,5463105536,2215043072,2214969344
1650338115.5810485,5463105536,2215043072,2214969344
1650338115.6821702,5463105536,2215043072,2214969344
1650338115.783323,5463105536,2215043072,2214969344
1650338115.8844278,5463105536,2215043072,2214969344
1650338115.9855423,5463105536,2215043072,2214977536
1650338116.086656,5463105536,2215043072,2214977536
1650338116.187785,5463105536,2215043072,2214977536
1650338116.2889585,5463105536,2215043072,2214977536
1650338116.390295,5463105536,2215043072,2214977536
1650338116.4914765,5463105536,2215043072,2214977536
1650338116.5926201,5463105536,2215043072,2214977536
1650338116.6936843,5463105536,2215051264,2214977536
1650338116.7947288,5463105536,2215051264,2214977536
1650338116.895788,5463105536,2215051264,2214977536
1650338116.9968657,5463105536,2215051264,2214977536
1650338117.0979588,5463105536,2215051264,2214977536
1650338117.19906,5463105536,2215051264,2214977536
1650338117.3001745,5463105536,2215051264,2214977536
1650338117.40125,5463105536,2215051264,2214977536
