ds,public.added_tweets,public.followers,public.follows,public.tweets,public.user_profiles
1650325521.6637297,57344,73728,73728,3850240,73728
1650325521.7651358,65536,73728,73728,3850240,73728
1650325521.8666492,65536,73728,73728,3850240,73728
1650325521.9679635,65536,73728,73728,3850240,73728
1650325522.0691414,65536,73728,73728,3850240,73728
1650325522.170625,65536,73728,73728,3850240,73728
1650325522.271815,73728,73728,73728,3850240,73728
1650325522.3730245,73728,73728,73728,3850240,73728
1650325522.4741342,73728,73728,73728,3850240,73728
1650325522.5752912,73728,73728,73728,3850240,73728
1650325522.6764772,73728,73728,73728,3850240,73728
1650325522.7775846,81920,73728,73728,3850240,73728
1650325522.87886,81920,73728,73728,3850240,73728
1650325522.9802747,81920,73728,73728,3850240,73728
1650325523.0819,81920,73728,73728,3850240,73728
1650325523.1832745,81920,73728,73728,3850240,73728
1650325523.284441,90112,73728,73728,3850240,73728
1650325523.3855796,90112,73728,73728,3850240,73728
1650325523.4870884,90112,73728,73728,3850240,73728
1650325523.5882215,90112,73728,73728,3850240,73728
1650325523.6894164,90112,73728,73728,3850240,73728
1650325523.7907867,90112,73728,73728,3850240,73728
1650325523.8919,98304,73728,73728,3850240,73728
1650325523.9931881,98304,73728,73728,3850240,73728
1650325524.0943189,98304,73728,73728,3850240,73728
1650325524.195813,98304,73728,73728,3850240,73728
1650325524.2973309,98304,73728,73728,3850240,73728
1650325524.3985426,106496,73728,73728,3850240,73728
1650325524.4998035,106496,73728,73728,3850240,73728
1650325524.6011207,106496,73728,73728,3850240,73728
1650325524.7021563,106496,73728,73728,3850240,73728
1650325524.8034873,106496,73728,73728,3850240,73728
1650325524.9048476,106496,73728,73728,3850240,73728
1650325525.0060465,114688,73728,73728,3850240,73728
1650325525.1072257,114688,73728,73728,3850240,73728
1650325525.2087312,114688,73728,73728,3850240,73728
1650325525.3100126,114688,73728,73728,3850240,73728
1650325525.41146,114688,73728,73728,3850240,73728
1650325525.5127904,122880,73728,73728,3850240,73728
1650325525.614298,122880,73728,73728,3850240,73728
1650325525.7157683,122880,73728,73728,3850240,73728
1650325525.8173025,122880,73728,73728,3850240,73728
1650325525.9187932,122880,73728,73728,3850240,73728
1650325526.0203156,122880,73728,73728,3850240,73728
1650325526.1216862,131072,73728,73728,3850240,73728
1650325526.2230082,131072,73728,73728,3850240,73728
1650325526.3243768,131072,73728,73728,3850240,73728
1650325526.4257288,131072,73728,73728,3850240,73728
1650325526.5269313,131072,73728,73728,3850240,73728
1650325526.6283605,139264,73728,73728,3850240,73728
1650325526.7294996,139264,73728,73728,3850240,73728
1650325526.8306205,139264,73728,73728,3850240,73728
1650325526.931783,139264,73728,73728,3850240,73728
1650325527.0332243,139264,73728,73728,3850240,73728
1650325527.13488,139264,73728,73728,3850240,73728
1650325527.2363904,139264,73728,73728,3850240,73728
1650325527.337695,147456,73728,73728,3850240,73728
1650325527.4390168,147456,73728,73728,3850240,73728
1650325527.5401936,147456,73728,73728,3850240,73728
1650325527.6413784,147456,73728,73728,3850240,73728
1650325527.7427344,155648,73728,73728,3850240,73728
1650325527.8441381,155648,73728,73728,3850240,73728
1650325527.9455442,155648,73728,73728,3850240,73728
1650325528.0466926,163840,73728,73728,3850240,73728
1650325528.1478674,163840,73728,73728,3850240,73728
1650325528.2490625,163840,73728,73728,3850240,73728
1650325528.3501601,163840,73728,73728,3850240,73728
1650325528.4513254,172032,73728,73728,3850240,73728
1650325528.5527055,172032,73728,73728,3850240,73728
1650325528.654054,172032,73728,73728,3850240,73728
1650325528.7554069,172032,73728,73728,3850240,73728
1650325528.8568392,172032,73728,73728,3850240,73728
1650325528.9579828,172032,73728,73728,3850240,73728
1650325529.0593445,180224,73728,73728,3850240,73728
1650325529.1604743,180224,73728,73728,3850240,73728
1650325529.261954,180224,73728,73728,3850240,73728
1650325529.3631253,180224,73728,73728,3850240,73728
1650325529.4642212,180224,73728,73728,3850240,73728
1650325529.56564,188416,73728,73728,3850240,73728
1650325529.6667485,188416,73728,73728,3850240,73728
1650325529.767831,188416,73728,73728,3850240,73728
1650325529.8693285,188416,73728,73728,3850240,73728
1650325529.970508,188416,73728,73728,3850240,73728
1650325530.0716705,196608,73728,73728,3850240,73728
1650325530.173083,196608,73728,73728,3850240,73728
1650325530.2744148,196608,73728,73728,3850240,73728
1650325530.3756897,196608,73728,73728,3850240,73728
1650325530.477097,196608,73728,73728,3850240,73728
1650325530.578614,196608,73728,73728,3850240,73728
1650325530.6798851,204800,73728,73728,3850240,73728
1650325530.78144,204800,73728,73728,3850240,73728
1650325530.882944,204800,73728,73728,3850240,73728
1650325530.9842815,204800,73728,73728,3850240,73728
1650325531.085764,204800,73728,73728,3850240,73728
1650325531.1872609,212992,73728,73728,3850240,73728
1650325531.2888076,212992,73728,73728,3850240,73728
1650325531.3902946,212992,73728,73728,3850240,73728
1650325531.4917789,212992,73728,73728,3850240,73728
1650325531.593259,212992,73728,73728,3850240,73728
1650325531.694711,212992,73728,73728,3850240,73728
1650325531.7962224,221184,73728,73728,3850240,73728
1650325531.8977172,221184,73728,73728,3850240,73728
1650325531.9991915,221184,73728,73728,3850240,73728
1650325532.100375,221184,73728,73728,3850240,73728
1650325532.2017684,229376,73728,73728,3850240,73728
1650325532.302946,229376,73728,73728,3850240,73728
1650325532.404226,229376,73728,73728,3850240,73728
1650325532.5057123,229376,73728,73728,3850240,73728
1650325532.6069837,237568,73728,73728,3858432,73728
1650325532.7085192,237568,73728,73728,3858432,73728
1650325532.8097582,245760,73728,73728,3858432,73728
1650325532.9109752,245760,73728,73728,3858432,73728
1650325533.0121562,245760,73728,73728,3858432,73728
1650325533.1135297,253952,73728,73728,3858432,73728
1650325533.21497,253952,73728,73728,3858432,73728
1650325533.3163438,253952,73728,73728,3858432,73728
1650325533.417687,253952,73728,73728,3858432,73728
1650325533.5190618,253952,73728,73728,3858432,73728
1650325533.62042,262144,73728,73728,3858432,73728
1650325533.721766,262144,73728,73728,3858432,73728
1650325533.8228886,262144,73728,73728,3858432,73728
1650325533.9244032,262144,73728,73728,3858432,73728
1650325534.0258634,262144,73728,73728,3858432,73728
1650325534.1270535,270336,73728,73728,3858432,73728
1650325534.2282073,270336,73728,73728,3858432,73728
1650325534.3296466,270336,73728,73728,3858432,73728
1650325534.4310136,270336,73728,73728,3858432,73728
1650325534.5323641,270336,73728,73728,3858432,73728
1650325534.6335263,270336,73728,73728,3858432,73728
1650325534.7346432,278528,73728,73728,3858432,73728
1650325534.8357453,278528,73728,73728,3858432,73728
1650325534.9369078,278528,73728,73728,3858432,73728
1650325535.038368,278528,73728,73728,3858432,73728
1650325535.1395547,278528,73728,73728,3858432,73728
1650325535.240709,286720,73728,73728,3858432,73728
1650325535.3418167,286720,73728,73728,3858432,73728
1650325535.4429579,286720,73728,73728,3858432,73728
1650325535.5442564,286720,73728,73728,3858432,73728
1650325535.6456232,286720,73728,73728,3858432,73728
1650325535.7471437,294912,73728,73728,3858432,73728
1650325535.8486383,294912,73728,73728,3858432,73728
1650325535.9500864,294912,73728,73728,3858432,73728
1650325536.051235,294912,73728,73728,3858432,73728
1650325536.1524267,294912,73728,73728,3858432,73728
1650325536.2536175,294912,73728,73728,3858432,73728
1650325536.354769,303104,73728,73728,3858432,73728
1650325536.4561343,303104,73728,73728,3858432,73728
1650325536.5575504,303104,73728,73728,3858432,73728
1650325536.6589148,303104,73728,73728,3858432,73728
1650325536.7602339,311296,73728,73728,3858432,73728
1650325536.8616219,311296,73728,73728,3858432,73728
1650325536.962957,311296,73728,73728,3858432,73728
1650325537.0641205,311296,73728,73728,3858432,73728
1650325537.165299,311296,73728,73728,3858432,73728
1650325537.2664752,311296,73728,73728,3858432,73728
1650325537.36764,319488,73728,73728,3858432,73728
1650325537.4687526,319488,73728,73728,3858432,73728
1650325537.569843,319488,73728,73728,3858432,73728
1650325537.670902,319488,73728,73728,3858432,73728
