ds,table_name,pg_stat_get_live_tuples,pg_stat_get_dead_tuples,pg_table_size,relid,schemaname,relname,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,n_mod_since_analyze,n_ins_since_vacuum,last_vacuum,last_autovacuum,last_analyze,last_autoanalyze,vacuum_count,autovacuum_count,analyze_count,autoanalyze_count
1650448366.6457295,public.usertable,55194,17024,82362368,16943,public,usertable,1,0,300702,2191689,64078,17374,8846,6735,55194,17024,30950,11683,,2022-04-20 09:51:56.465067+00:00,,2022-04-20 09:51:57.241251+00:00,0,1,0,1
1650448367.6722236,public.usertable,55337,17305,82821120,16943,public,usertable,1,0,306166,2216702,64331,17596,8956,6845,55337,17305,31535,11936,,2022-04-20 09:51:56.465067+00:00,,2022-04-20 09:51:57.241251+00:00,0,1,0,1
1650448368.6969013,public.usertable,55465,17627,83263488,16943,public,usertable,1,0,311748,2241425,64577,17845,9074,6970,55465,17627,32148,12182,,2022-04-20 09:51:56.465067+00:00,,2022-04-20 09:51:57.241251+00:00,0,1,0,1
1650448369.722466,public.usertable,55625,17895,83714048,16943,public,usertable,1,0,317227,2266598,64846,18077,9183,7095,55625,17895,32758,12451,,2022-04-20 09:51:56.465067+00:00,,2022-04-20 09:51:57.241251+00:00,0,1,0,1
1650448370.7470253,public.usertable,55779,18181,84230144,16943,public,usertable,1,0,323014,2288956,65123,18307,9306,7202,55779,18181,33388,12728,,2022-04-20 09:51:56.465067+00:00,,2022-04-20 09:51:57.241251+00:00,0,1,0,1
1650448371.7745216,public.usertable,55947,18443,84672512,16943,public,usertable,1,0,328558,2310970,65404,18532,9419,7306,55947,18443,34007,13009,,2022-04-20 09:51:56.465067+00:00,,2022-04-20 09:51:57.241251+00:00,0,1,0,1
1650448372.8004363,public.usertable,56097,18710,85123072,16943,public,usertable,1,0,334178,2329237,65660,18744,9525,7408,56097,18710,34581,13265,,2022-04-20 09:51:56.465067+00:00,,2022-04-20 09:51:57.241251+00:00,0,1,0,1
1650448373.8249419,public.usertable,56367,19081,85581824,16943,public,usertable,1,0,342687,2369862,66069,19082,9664,7573,56367,19081,35467,13674,,2022-04-20 09:51:56.465067+00:00,,2022-04-20 09:51:57.241251+00:00,0,1,0,1
1650448374.8516293,public.usertable,56534,19354,86040576,16943,public,usertable,1,0,348252,2396913,66349,19304,9777,7691,56534,19354,36082,13954,,2022-04-20 09:51:56.465067+00:00,,2022-04-20 09:51:57.241251+00:00,0,1,0,1
1650448375.8786907,public.usertable,56710,19603,86491136,16943,public,usertable,1,0,353751,2421400,66636,19497,9888,7797,56710,19603,36673,14241,,2022-04-20 09:51:56.465067+00:00,,2022-04-20 09:51:57.241251+00:00,0,1,0,1
1650448376.9047294,public.usertable,56889,164,86761472,16943,public,usertable,1,0,359362,2447394,66892,19719,9982,7954,56889,164,37245,130,,2022-04-20 09:52:56.618240+00:00,,2022-04-20 09:51:57.241251+00:00,0,2,0,1
1650448377.9312925,public.usertable,56939,293,86761472,16943,public,usertable,1,0,364985,2466757,67150,19932,10105,8128,56939,293,305,388,,2022-04-20 09:52:56.618240+00:00,,2022-04-20 09:52:57.374543+00:00,0,2,0,2
1650448378.9557679,public.usertable,57102,628,86761472,16943,public,usertable,1,0,371004,2486934,67429,20154,10221,8296,57102,628,922,667,,2022-04-20 09:52:56.618240+00:00,,2022-04-20 09:52:57.374543+00:00,0,2,0,2
1650448379.9808843,public.usertable,57300,938,86761472,16943,public,usertable,1,0,376813,2514294,67726,20372,10320,8468,57300,938,1536,964,,2022-04-20 09:52:56.618240+00:00,,2022-04-20 09:52:57.374543+00:00,0,2,0,2
